3.000000000000000000e+01 1.154979646219886308e+04
3.250000000000000000e+01 1.165766373595403820e+04
3.500000000000000000e+01 1.175405879749524865e+04
3.750000000000000000e+01 1.184087689497905558e+04
4.000000000000000000e+01 1.191960216681093152e+04
4.250000000000000000e+01 1.199141560745616516e+04
4.500000000000000000e+01 1.205727028776917723e+04
4.750000000000000000e+01 1.211794495424914930e+04
5.000000000000000000e+01 1.217408298738337180e+04
5.250000000000000000e+01 1.222622122199801925e+04
5.500000000000000000e+01 1.227481160670249665e+04
5.750000000000000000e+01 1.232023771434367882e+04
6.000000000000000000e+01 1.236282749016238085e+04
6.250000000000000000e+01 1.240286321056699671e+04
6.500000000000000000e+01 1.244058934624149879e+04
6.750000000000000000e+01 1.247621883156753029e+04
7.000000000000000000e+01 1.250993810852999559e+04
7.250000000000000000e+01 1.254191121850366653e+04
7.500000000000000000e+01 1.257228314727781253e+04
7.750000000000000000e+01 1.260118257921030818e+04
8.000000000000000000e+01 1.262872418002085215e+04
8.250000000000000000e+01 1.265501050068368022e+04
8.500000000000000000e+01 1.268013357456622543e+04
8.750000000000000000e+01 1.270417626456042854e+04
9.000000000000000000e+01 1.272721340517600402e+04
9.250000000000000000e+01 1.274931277548317848e+04
9.500000000000000000e+01 1.277053593173483387e+04
9.750000000000000000e+01 1.279093892297315324e+04
1.000000000000000000e+02 1.281057290857112093e+04
